Top pages,Clicks,Impressions,CTR,Position
https://nashandsmashed.com/,27067,372991,7.26%,13.24
https://nashandsmashed.com/locations,1035,107431,0.96%,4.45
https://www.nashandsmashed.com/,682,7724,8.83%,6.31
https://nashandsmashed.com/fast-food/abingdon-md,202,2726,7.41%,4.46
https://nashandsmashed.com/best-in-town-fried-chicken-burgers/lorton-va,133,5488,2.42%,2.98
https://nashandsmashed.com/open-till-late/lorton-va,123,2718,4.53%,6.05
https://nashandsmashed.com/careers,103,96827,0.11%,4.59
https://nashandsmashed.com/locations/uk/chelmsford,101,3742,2.70%,7.88
https://nashandsmashed.com/calories,93,17835,0.52%,4.32
https://nashandsmashed.com/halal-burgers/reston-va,89,2296,3.88%,6.84
https://nashandsmashed.com/franchise,73,95634,0.08%,4.78
https://nashandsmashed.com/open-till-late/glen-allen-va,60,5991,1%,4.87
https://nashandsmashed.com/fast-food/connecticut-ave-nw-dc,59,2407,2.45%,4.25
https://nashandsmashed.com/fast-food/manassas-park-va,56,5581,1%,4.91
https://nashandsmashed.com/quick-bites/abingdon-md,49,1243,3.94%,4.01
https://nashandsmashed.com/best-smashed-burgers/abingdon-md,49,848,5.78%,5.37
https://nashandsmashed.com/open-till-late/arlington-va,40,816,4.90%,5.77
https://nashandsmashed.com/contact,30,92739,0.03%,4.52
https://nashandsmashed.com/best-smashed-burgers/woodbridge-va,28,5520,0.51%,5.74
https://nashandsmashed.com/family-friendly-restaurant/dumfries-va,24,1273,1.89%,5.49
https://nashandsmashed.com/best-smashed-burgers/alexandria-va,24,1259,1.91%,9.67
https://nashandsmashed.com/fast-food/glen-allen-va,23,3721,0.62%,4.71
https://nashandsmashed.com/halal-burgers/southeast-dc,22,2186,1.01%,7.16
https://nashandsmashed.com/halal-fried-chicken/lorton-va,21,1821,1.15%,4.19
https://nashandsmashed.com/gourmet-burgers-restaurant/temple-hills-md,19,1031,1.84%,8.06
https://nashandsmashed.com/fast-food/h-st-ne-dc,18,252,7.14%,5.37
https://nashandsmashed.com/halal-american-restaurant/glen-allen-va,14,1513,0.93%,5.11
