Top queries,Clicks,Impressions,CTR,Position
nash and smash,9216,32193,28.63%,1.47
nash and smashed,2209,7763,28.46%,1.72
nash and smash menu,1351,4705,28.71%,2.71
nash and smashed menu,692,2479,27.91%,2.11
nashed and smashed,658,2073,31.74%,1.84
nash & smashed,574,2373,24.19%,2.18
nash and smashed glen allen va,544,1616,33.66%,1.16
food near me,403,32704,1.23%,8.94
nash and smash silver spring,360,902,39.91%,1.48
nash and smashed hampton,303,1067,28.40%,1.61
nash and smashed blacksburg,281,946,29.70%,2.36
smash and nash,246,816,30.15%,1.63
nash smash,224,841,26.63%,1.57
nash and smash dc,219,824,26.58%,1.45
nash and smash norfolk,216,843,25.62%,1.41
nash and smash ellicott city,210,710,29.58%,1.15
nash and smash abingdon,191,643,29.70%,1.62
nash and smash richmond,171,528,32.39%,1.21
nash & smashed menu,168,906,18.54%,2.77
nash and smash dumfries,148,755,19.60%,2.44
nash and smash manassas park,140,675,20.74%,1.57
nash and smash manassas,134,603,22.22%,2.21
burgers near me,127,4790,2.65%,15.94
mash and smash,120,579,20.73%,1.83
nash n smash,100,558,17.92%,2.14
restaurants near me,99,7599,1.30%,8.91
nash and smashed glen allen va menu,98,1378,7.11%,2.91
nash smashed,95,293,32.42%,1.68
nash and smashed silver spring,94,282,33.33%,1.31
nash & smash,91,392,23.21%,1.69
nash & smashed norfolk,87,432,20.14%,1.36
nash and smashed ellicott city,86,424,20.28%,1.01
nash and smashed richmond va,77,169,45.56%,1.54
nash and smash baltimore,76,335,22.69%,1.56
nash and smash hampton,76,213,35.68%,1.56
nash and smash hampton va,75,258,29.07%,1.41
smash burger,71,2901,2.45%,12.61
nash and smash locations,71,327,21.71%,2.39
nash & smashed silver spring,69,252,27.38%,1.38
nash and smash near me,66,585,11.28%,2.13
nashed and smashed menu,66,130,50.77%,2
nash and smashed norfolk,64,305,20.98%,1.52
mash and smashed,64,201,31.84%,1.68
smash burger near me,60,1994,3.01%,10.66
fast food near me,59,4457,1.32%,4.2
nash & smashed baltimore,58,369,15.72%,1.26
mashed and smashed,53,184,28.80%,3.14
nash and smash lorton,53,107,49.53%,1.64
nash smash burger,49,215,22.79%,1.81
nash and smash lorton va,47,140,33.57%,1.32
nash and smash woodbridge,46,208,22.12%,1.26
halal food near me,45,4075,1.10%,21.35
burger near me,44,1368,3.22%,15.14
nash and smashed hampton menu,41,492,8.33%,3.87
nash and smashed manassas park,40,304,13.16%,1.54
nash and smash silver spring md,40,145,27.59%,1.97
nash and smashed lorton,40,91,43.96%,1.56
nash and smashed glen allen,39,98,39.80%,1.64
nash and smash abingdon md,38,176,21.59%,1.77
smashburger,37,1534,2.41%,12.23
nash burger,37,483,7.66%,6.99
smash n nash,37,153,24.18%,2.18
smash burgers near me,36,1425,2.53%,8.3
nash and smash website,35,84,41.67%,1.99
nash and smashed dumfries,34,156,21.79%,1.99
nash & smashed glen allen va,34,114,29.82%,1.35
smash burger abingdon md,34,97,35.05%,2.1
nash and smash glen allen va,33,119,27.73%,1.36
nash and mashed,33,118,27.97%,1.25
smashed and nash,33,90,36.67%,1.63
nash and smash burger,32,102,31.37%,1.57
hash and smashed,31,112,27.68%,1.82
nashed and smashed glen allen,31,79,39.24%,1.06
nash and smash woodbridge va,30,108,27.78%,1.49
nashed and smashed norfolk,30,74,40.54%,1.61
nash and mash,29,202,14.36%,3.66
nash and smashed hampton va,29,104,27.88%,1.83
nashandsmashed,29,85,34.12%,2.13
smash burger richmond va,27,383,7.05%,6.04
smash burger manassas va,27,143,18.88%,2.17
nash n smashed,27,117,23.08%,1.56
nashandsmash,27,59,45.76%,1.63
nash and smashed baltimore,26,136,19.12%,1.84
nash and smashed richmond,26,67,38.81%,1.48
nash & smashed dumfries,25,214,11.68%,1.83
nash and smash richmond va,25,86,29.07%,1.26
fried chicken near me,24,1469,1.63%,39.43
smash burgers,24,679,3.53%,11.41
nash ans smash,24,71,33.80%,1.63
5030 connecticut ave nw,23,285,8.07%,4.49
nash and smashed dc,23,83,27.71%,1.13
nash and dash,23,77,29.87%,2.29
nash and smashes,23,69,33.33%,1.33
food,22,1728,1.27%,8.5
nash and smahed,22,90,24.44%,1.61
nash & smashed dumfries menu,21,424,4.95%,3.67
smash burger woodbridge va,21,152,13.82%,4.74
nash and smash abingdon md opening date,21,107,19.63%,3.28
nash and smash halal,21,100,21%,1.97
nash & smashed hampton,21,76,27.63%,1.29
nash and smashed calories,21,39,53.85%,2
nash & smashed manassas park,20,125,16%,1.51
nash smash menu,20,51,39.22%,1.9
nash and smashed arlington,20,38,52.63%,2
nash and smash nutrition facts,20,36,55.56%,1.83
smash burger baltimore,19,524,3.63%,4.95
nash burgers,19,122,15.57%,4.11
smash nash,19,96,19.79%,2.12
nas and smash,19,87,21.84%,1.57
nash smash burgers,19,62,30.65%,1.69
gnash and smash,19,58,32.76%,1.38
nash and smah,19,55,34.55%,1.44
smash and nash menu,19,49,38.78%,2.18
nash and smashed locations,18,99,18.18%,1.75
smash burger silver spring,18,79,22.78%,1.43
nash and.smash,18,52,34.62%,1.25
nash and smashed website,18,42,42.86%,1.43
nash and smashed nutrition,18,32,56.25%,1.91
chicken near me,17,600,2.83%,28.45
"nash and smash dumfries, va",17,99,17.17%,1.91
mashed and smashed restaurant,17,64,26.56%,1.95
nash and smash calories,17,39,43.59%,4.15
nash smashed menu,17,36,47.22%,1.5
nash and smash rock hill sc,17,33,51.52%,1.15
burger places near me,16,1304,1.23%,28.48
smashburger near me,16,846,1.89%,11.35
nash & smashed norfolk menu,16,295,5.42%,3.56
peri peri original,16,265,6.04%,2.85
nash and smashed manassas,16,164,9.76%,1.7
nash and smash four corners,16,60,26.67%,1.55
nash and smash maryland,16,58,27.59%,2.12
nash and smash reston,16,51,31.37%,3.18
nashed and smashed silver spring,16,35,45.71%,1.06
places to eat near me,15,1299,1.15%,8.78
lunch near me,15,736,2.04%,7.93
best burgers near me,15,665,2.26%,27.67
burgers,15,376,3.99%,6.67
smashed burger,15,352,4.26%,39.61
nash and smashed glen allen va photos,15,260,5.77%,2.59
nash and smashed near me,15,178,8.43%,1.79
nash and smash herndon,15,94,15.96%,1.71
smash burger short pump,15,64,23.44%,2.02
nash&smashed,15,50,30%,1.7
smash burger chelmsford,14,89,15.73%,3.2
nash and smashed halal,14,87,16.09%,2.24
mash and smash menu,14,76,18.42%,2.84
nash and smashed blacksburg menu,14,55,25.45%,1.98
nash and smashed nutrition pdf,14,40,35%,1.93
best burger near me,13,537,2.42%,34.32
nash and smash blacksburg,13,86,15.12%,2.8
nash and smash norfolk va,13,84,15.48%,5.1
nash and smash bel air,13,48,27.08%,1.5
nashed and smashed near me,13,48,27.08%,1.6
